id	cov_0	cov_2	cov_1
S119	0.0	1.0	1.0
S120	2.0	1.0	0.0
S121	1.0	3.0	1.0
S122	2.0	0.0	0.0
S123	0.0	1.0	1.0
S124	0.0	2.0	2.0
S125	2.0	1.0	1.0
S126	0.0	2.0	3.0
S127	0.0	0.0	1.0
S128	3.0	0.0	1.0
S129	2.0	3.0	3.0
S130	0.0	3.0	3.0
S131	0.0	1.0	2.0
S132	3.0	2.0	1.0
S133	2.0	3.0	0.0
S134	1.0	2.0	0.0
S135	3.0	2.0	1.0
S136	0.0	0.0	0.0
S137	2.0	0.0	3.0
S138	2.0	0.0	0.0
S139	0.0	2.0	3.0
S140	2.0	2.0	2.0
S141	1.0	1.0	3.0
S142	3.0	0.0	0.0
S143	3.0	2.0	2.0
S144	3.0	0.0	3.0
S145	0.0	2.0	0.0
S146	3.0	2.0	3.0
S147	0.0	3.0	2.0
S148	3.0	0.0	2.0
S149	1.0	3.0	2.0
S150	1.0	2.0	2.0
S151	2.0	1.0	3.0
S152	2.0	3.0	3.0
S153	3.0	0.0	1.0
S154	1.0	3.0	3.0
S155	1.0	3.0	1.0
S156	0.0	1.0	3.0
S157	1.0	1.0	2.0
S158	0.0	1.0	0.0
S159	0.0	3.0	1.0
S160	0.0	0.0	0.0
S161	2.0	1.0	3.0
S162	1.0	3.0	0.0
S163	1.0	2.0	2.0
S164	1.0	0.0	1.0
S165	0.0	1.0	0.0
S166	2.0	1.0	2.0
S167	0.0	2.0	2.0
S168	3.0	3.0	1.0
S169	2.0	3.0	1.0
S170	2.0	2.0	0.0
S171	1.0	1.0	1.0
S172	2.0	0.0	2.0
S173	3.0	1.0	3.0
S174	1.0	2.0	3.0
S175	2.0	2.0	3.0
S176	1.0	2.0	3.0
S177	3.0	3.0	0.0
S178	2.0	0.0	1.0
S179	2.0	3.0	3.0
S180	1.0	3.0	1.0
S181	1.0	1.0	1.0
S182	0.0	3.0	3.0
S183	0.0	3.0	0.0
S184	3.0	2.0	0.0
S185	2.0	2.0	1.0
S186	1.0	2.0	1.0
S187	3.0	1.0	3.0
S188	0.0	1.0	0.0
S189	3.0	3.0	0.0
S190	1.0	0.0	2.0
S191	1.0	3.0	3.0
S192	1.0	3.0	2.0
S193	3.0	1.0	3.0
S194	0.0	0.0	3.0
S195	2.0	2.0	2.0
S196	0.0	2.0	0.0
S197	0.0	0.0	1.0
S198	2.0	1.0	0.0
S199	1.0	0.0	2.0
S200	3.0	3.0	3.0
S201	1.0	0.0	1.0
S202	0.0	1.0	0.0
S203	0.0	2.0	0.0
S204	1.0	2.0	2.0
S205	0.0	0.0	2.0
S206	2.0	2.0	0.0
S207	0.0	3.0	0.0
S208	1.0	3.0	1.0
S209	3.0	2.0	0.0
S210	1.0	0.0	0.0
S211	3.0	0.0	2.0
S212	0.0	3.0	3.0
S213	0.0	0.0	0.0
S214	2.0	2.0	3.0
S215	2.0	1.0	0.0
S216	1.0	3.0	2.0
S217	2.0	0.0	2.0
S218	2.0	2.0	1.0
S219	1.0	2.0	2.0
S220	1.0	1.0	0.0
S221	2.0	1.0	1.0
S222	0.0	1.0	0.0
S223	0.0	1.0	1.0
S224	3.0	1.0	1.0
S225	1.0	1.0	2.0
S226	0.0	3.0	0.0
S227	1.0	0.0	0.0
S228	1.0	0.0	2.0
S229	1.0	3.0	2.0
S230	2.0	0.0	2.0
S231	2.0	3.0	2.0
S232	0.0	0.0	3.0
S233	0.0	3.0	2.0
S234	1.0	3.0	0.0
S235	1.0	3.0	0.0
S236	1.0	3.0	2.0
S237	0.0	1.0	3.0
S238	3.0	3.0	0.0
S239	0.0	3.0	0.0
S240	2.0	3.0	1.0
S241	1.0	0.0	1.0
S242	0.0	3.0	2.0
S243	0.0	1.0	2.0
S244	1.0	0.0	3.0
S245	0.0	3.0	2.0
S246	1.0	3.0	3.0
S247	0.0	3.0	3.0
S248	1.0	0.0	0.0
S249	0.0	0.0	0.0
S250	2.0	1.0	3.0
S251	0.0	0.0	1.0
S252	1.0	1.0	0.0
S253	1.0	2.0	3.0
S254	1.0	3.0	3.0
S255	2.0	3.0	1.0
S256	1.0	2.0	1.0
S257	0.0	3.0	1.0
S258	3.0	1.0	2.0
S259	0.0	1.0	1.0
S260	0.0	0.0	2.0
S261	0.0	3.0	3.0
S262	0.0	0.0	2.0
S263	2.0	3.0	1.0
S264	2.0	3.0	0.0
S265	1.0	2.0	3.0
S266	0.0	0.0	3.0
S267	1.0	3.0	0.0
S268	1.0	3.0	2.0
S269	1.0	2.0	0.0
S270	0.0	0.0	3.0
S271	0.0	1.0	3.0
S272	0.0	3.0	0.0
S273	1.0	0.0	2.0
S274	1.0	1.0	2.0
S275	2.0	0.0	1.0
S276	1.0	1.0	1.0
S277	1.0	0.0	0.0
S278	3.0	3.0	1.0
S279	0.0	2.0	3.0
S280	0.0	2.0	1.0
S281	1.0	2.0	3.0
S282	2.0	0.0	3.0
S283	3.0	1.0	3.0
S284	2.0	0.0	0.0
S285	0.0	0.0	3.0
S286	3.0	3.0	1.0
S287	1.0	3.0	0.0
S288	2.0	0.0	0.0
S289	1.0	1.0	2.0
S290	3.0	2.0	3.0
S291	1.0	1.0	0.0
S292	1.0	0.0	1.0
S293	2.0	3.0	0.0
S294	2.0	3.0	1.0
S295	2.0	3.0	3.0
S296	0.0	1.0	2.0
S297	3.0	2.0	2.0
S298	0.0	2.0	2.0
S299	3.0	3.0	2.0
S300	1.0	3.0	2.0
S301	3.0	3.0	3.0
S302	1.0	3.0	3.0
S303	1.0	2.0	3.0
S304	0.0	1.0	2.0
S305	2.0	2.0	2.0
S306	0.0	0.0	1.0
S307	1.0	1.0	1.0
S308	1.0	0.0	0.0
S309	3.0	3.0	2.0
S310	3.0	2.0	1.0
S311	1.0	3.0	2.0
S312	0.0	0.0	2.0
S313	0.0	1.0	1.0
S314	2.0	3.0	2.0
S315	3.0	0.0	3.0
S316	1.0	0.0	1.0
S317	3.0	2.0	0.0
S318	1.0	1.0	3.0
S319	1.0	0.0	1.0
S320	1.0	1.0	0.0
S321	2.0	2.0	3.0
S322	1.0	3.0	1.0
S323	1.0	1.0	1.0
S324	0.0	3.0	0.0
S325	0.0	3.0	2.0
S326	3.0	2.0	0.0
S327	2.0	2.0	0.0
S328	3.0	0.0	3.0
S329	1.0	0.0	0.0
S330	3.0	3.0	0.0
S331	1.0	1.0	2.0
S332	1.0	0.0	1.0
S333	1.0	0.0	1.0
S334	3.0	2.0	2.0
S335	1.0	2.0	0.0
S336	3.0	3.0	1.0
S337	2.0	1.0	2.0
S338	0.0	0.0	0.0
S339	2.0	2.0	3.0
S340	0.0	1.0	2.0
S341	1.0	1.0	1.0
S342	0.0	2.0	2.0
S343	0.0	0.0	1.0
S344	3.0	0.0	1.0
S345	3.0	2.0	3.0
S346	2.0	2.0	2.0
S347	0.0	0.0	1.0
S348	1.0	0.0	0.0
S349	1.0	1.0	2.0
S350	2.0	0.0	2.0
S351	0.0	1.0	2.0
S352	2.0	1.0	3.0
S353	1.0	2.0	0.0
S354	3.0	1.0	2.0
S355	3.0	1.0	2.0
S356	3.0	1.0	0.0
S357	1.0	1.0	2.0
S358	3.0	1.0	3.0
S359	0.0	0.0	2.0
S360	2.0	0.0	0.0
S361	1.0	3.0	1.0
S362	0.0	0.0	1.0
S363	3.0	1.0	0.0
S364	0.0	3.0	1.0
S365	2.0	1.0	2.0
S366	3.0	3.0	2.0
S367	2.0	2.0	2.0
S368	1.0	1.0	2.0
S369	0.0	2.0	1.0
S370	3.0	2.0	2.0
S371	0.0	0.0	0.0
S372	3.0	2.0	2.0
S373	1.0	3.0	2.0
S374	2.0	1.0	0.0
S375	1.0	2.0	1.0
S376	2.0	2.0	2.0
S377	3.0	2.0	0.0
S378	0.0	0.0	2.0
S379	3.0	3.0	3.0
S380	3.0	2.0	2.0
S381	2.0	2.0	1.0
S382	3.0	0.0	3.0
S383	3.0	2.0	3.0
S384	2.0	2.0	1.0
S385	0.0	1.0	3.0
S386	0.0	0.0	2.0
S387	1.0	3.0	1.0
S388	0.0	0.0	3.0
S389	1.0	3.0	3.0
S390	1.0	1.0	3.0
S391	3.0	3.0	1.0
S392	1.0	3.0	3.0
S393	1.0	2.0	3.0
S394	1.0	1.0	2.0
S395	1.0	0.0	3.0
S396	2.0	0.0	1.0
S397	0.0	2.0	1.0
S398	2.0	2.0	0.0
S399	3.0	0.0	0.0
